Date,Time,Nitrogen oxides as nitrogen dioxide,Status
07/01/2016,23:00:00,15.82307,V ugm-3
07/01/2016,24:00:00,12.23809,V ugm-3
08/01/2016,01:00:00,10.52449,V ugm-3
08/01/2016,02:00:00,13.25745,V ugm-3
08/01/2016,03:00:00,11.89097,V ugm-3
08/01/2016,04:00:00,7.73941,V ugm-3
08/01/2016,05:00:00,10.3538,V ugm-3
08/01/2016,06:00:00,13.22398,V ugm-3
08/01/2016,07:00:00,36.59617,V ugm-3
08/01/2016,08:00:00,86.16004,V ugm-3
08/01/2016,09:00:00,92.3618,V ugm-3
08/01/2016,10:00:00,88.56835,V ugm-3
08/01/2016,11:00:00,88.77347,V ugm-3
08/01/2016,12:00:00,60.22463,V ugm-3
08/01/2016,13:00:00,54.74005,V ugm-3
08/01/2016,14:00:00,44.23326,V ugm-3
08/01/2016,15:00:00,39.41567,V ugm-3
08/01/2016,16:00:00,47.66667,V ugm-3
08/01/2016,17:00:00,43.20768,V ugm-3
08/01/2016,18:00:00,101.84349,V ugm-3
08/01/2016,19:00:00,78.26619,V ugm-3
08/01/2016,20:00:00,59.76323,V ugm-3
08/01/2016,21:00:00,76.93414,V ugm-3
08/01/2016,22:00:00,74.31975,V ugm-3
08/01/2016,23:00:00,89.64509,V ugm-3
08/01/2016,24:00:00,101.84397,V ugm-3
09/01/2016,01:00:00,82.3497,V ugm-3
09/01/2016,02:00:00,194.83785,V ugm-3
09/01/2016,03:00:00,92.82271,V ugm-3
09/01/2016,04:00:00,58.68698,V ugm-3
09/01/2016,05:00:00,27.5749,V ugm-3
09/01/2016,06:00:00,18.19505,V ugm-3
09/01/2016,07:00:00,19.22062,V ugm-3
09/01/2016,08:00:00,32.39345,V ugm-3
09/01/2016,09:00:00,36.23757,V ugm-3
09/01/2016,10:00:00,46.43646,V ugm-3
09/01/2016,11:00:00,54.94565,V ugm-3
09/01/2016,12:00:00,44.48953,V ugm-3
09/01/2016,13:00:00,36.9036,V ugm-3
09/01/2016,14:00:00,46.89833,V ugm-3
09/01/2016,15:00:00,69.96308,V ugm-3
09/01/2016,16:00:00,68.98913,V ugm-3
09/01/2016,17:00:00,87.54325,V ugm-3
09/01/2016,18:00:00,52.3829,V ugm-3
09/01/2016,19:00:00,30.44557,V ugm-3
09/01/2016,20:00:00,25.67866,V ugm-3
09/01/2016,21:00:00,27.57538,V ugm-3
09/01/2016,22:00:00,26.90888,V ugm-3
09/01/2016,23:00:00,24.6024,V ugm-3
09/01/2016,24:00:00,22.14197,V ugm-3
10/01/2016,01:00:00,25.30939,V ugm-3
10/01/2016,02:00:00,29.82353,V ugm-3
10/01/2016,03:00:00,23.08627,V ugm-3
10/01/2016,04:00:00,14.62106,V ugm-3
10/01/2016,05:00:00,6.41261,V ugm-3
10/01/2016,06:00:00,3.64236,V ugm-3
10/01/2016,07:00:00,3.64236,V ugm-3
10/01/2016,08:00:00,5.69495,V ugm-3
10/01/2016,09:00:00,6.61773,V ugm-3
10/01/2016,10:00:00,8.41404,V ugm-3
10/01/2016,11:00:00,11.90244,V ugm-3
10/01/2016,12:00:00,14.6727,V ugm-3
10/01/2016,13:00:00,14.46711,V ugm-3
10/01/2016,14:00:00,16.98157,V ugm-3
10/01/2016,15:00:00,19.75134,V ugm-3
10/01/2016,16:00:00,21.49602,V ugm-3
10/01/2016,17:00:00,27.08817,V ugm-3
