Date,Time,Nitrogen oxides as nitrogen dioxide,Status
30/09/2016,19:00:00,56.99393,V ugm-3
30/09/2016,20:00:00,41.89044,V ugm-3
30/09/2016,21:00:00,65.6676,V ugm-3
30/09/2016,22:00:00,100.71416,V ugm-3
30/09/2016,23:00:00,85.669,V ugm-3
30/09/2016,24:00:00,78.2944,V ugm-3
01/10/2016,01:00:00,126.28811,V ugm-3
01/10/2016,02:00:00,157.00924,V ugm-3
01/10/2016,03:00:00,119.71628,V ugm-3
01/10/2016,04:00:00,86.75913,V ugm-3
01/10/2016,05:00:00,43.58731,V ugm-3
01/10/2016,06:00:00,82.95803,V ugm-3
01/10/2016,07:00:00,84.62095,V ugm-3
01/10/2016,08:00:00,91.56907,V ugm-3
01/10/2016,09:00:00,117.28167,V ugm-3
01/10/2016,10:00:00,130.76145,V ugm-3
01/10/2016,11:00:00,97.26927,V ugm-3
01/10/2016,12:00:00,74.46701,V ugm-3
01/10/2016,13:00:00,62.17394,V ugm-3
01/10/2016,14:00:00,68.5287,V ugm-3
01/10/2016,15:00:00,65.44001,V ugm-3
01/10/2016,16:00:00,59.73933,V ugm-3
01/10/2016,17:00:00,31.76997,V ugm-3
01/10/2016,18:00:00,33.07573,V ugm-3
01/10/2016,19:00:00,39.07381,V ugm-3
01/10/2016,20:00:00,42.75585,V ugm-3
01/10/2016,21:00:00,44.71521,V ugm-3
01/10/2016,22:00:00,47.62508,V ugm-3
01/10/2016,23:00:00,36.6392,V ugm-3
01/10/2016,24:00:00,27.96936,V ugm-3
02/10/2016,01:00:00,28.92656,V ugm-3
02/10/2016,02:00:00,29.325,V ugm-3
02/10/2016,03:00:00,26.71523,V ugm-3
02/10/2016,04:00:00,17.45156,V ugm-3
02/10/2016,05:00:00,11.77383,V ugm-3
02/10/2016,06:00:00,9.3832,V ugm-3
02/10/2016,07:00:00,10.57852,V ugm-3
02/10/2016,08:00:00,13.50703,V ugm-3
02/10/2016,09:00:00,12.90938,V ugm-3
02/10/2016,10:00:00,13.2082,V ugm-3
02/10/2016,11:00:00,14.94141,V ugm-3
02/10/2016,12:00:00,13.86563,V ugm-3
02/10/2016,13:00:00,12.55078,V ugm-3
02/10/2016,14:00:00,12.84961,V ugm-3
02/10/2016,15:00:00,19.00547,V ugm-3
02/10/2016,16:00:00,17.27227,V ugm-3
02/10/2016,17:00:00,18.10898,V ugm-3
02/10/2016,18:00:00,33.22969,V ugm-3
02/10/2016,19:00:00,93.7125,V ugm-3
02/10/2016,20:00:00,132.1418,V ugm-3
02/10/2016,21:00:00,136.02656,V ugm-3
02/10/2016,22:00:00,156.10781,V ugm-3
02/10/2016,23:00:00,108.47461,V ugm-3
02/10/2016,24:00:00,90.12656,V ugm-3
03/10/2016,01:00:00,75.88672,V ugm-3
03/10/2016,02:00:00,48.40091,V ugm-3
03/10/2016,03:00:00,44.23373,V ugm-3
03/10/2016,04:00:00,38.58421,V ugm-3
03/10/2016,05:00:00,40.68844,V ugm-3
03/10/2016,06:00:00,87.86647,V ugm-3
03/10/2016,07:00:00,192.20099,V ugm-3
03/10/2016,08:00:00,222.01065,V ugm-3
03/10/2016,09:00:00,405.01538,V ugm-3
03/10/2016,10:00:00,307.59359,V ugm-3
03/10/2016,11:00:00,100.42729,V ugm-3
03/10/2016,12:00:00,51.02502,V ugm-3
03/10/2016,13:00:00,35.0982,V ugm-3
03/10/2016,14:00:00,33.89715,V ugm-3
03/10/2016,15:00:00,34.07693,V ugm-3
03/10/2016,16:00:00,54.27053,V ugm-3
03/10/2016,17:00:00,33.47592,V ugm-3
03/10/2016,18:00:00,56.19403,V ugm-3
03/10/2016,19:00:00,130.65818,V ugm-3
03/10/2016,20:00:00,215.70036,V ugm-3
03/10/2016,21:00:00,279.8872,V ugm-3
03/10/2016,22:00:00,250.37781,V ugm-3
03/10/2016,23:00:00,209.56936,V ugm-3
03/10/2016,24:00:00,207.52585,V ugm-3
04/10/2016,01:00:00,190.5615,V ugm-3
04/10/2016,02:00:00,79.51474,V ugm-3
04/10/2016,03:00:00,48.99108,V ugm-3
04/10/2016,04:00:00,39.67577,V ugm-3
04/10/2016,05:00:00,42.39869,V ugm-3
04/10/2016,06:00:00,75.96641,V ugm-3
04/10/2016,07:00:00,120.30055,V ugm-3
04/10/2016,08:00:00,171.16636,V ugm-3
04/10/2016,09:00:00,120.3608,V ugm-3
04/10/2016,10:00:00,53.58825,V ugm-3
04/10/2016,11:00:00,29.69682,V ugm-3
04/10/2016,12:00:00,28.48764,V ugm-3
04/10/2016,13:00:00,20.14054,V ugm-3
04/10/2016,14:00:00,31.08864,V ugm-3
04/10/2016,15:00:00,24.07216,V ugm-3
04/10/2016,16:00:00,25.22205,V ugm-3
04/10/2016,17:00:00,27.45968,V ugm-3
04/10/2016,18:00:00,33.56772,V ugm-3
04/10/2016,19:00:00,33.14506,V ugm-3
04/10/2016,20:00:00,27.4592,V ugm-3
04/10/2016,21:00:00,26.49147,V ugm-3
04/10/2016,22:00:00,27.09678,V ugm-3
04/10/2016,23:00:00,22.13623,V ugm-3
04/10/2016,24:00:00,16.02818,V ugm-3
05/10/2016,01:00:00,12.25466,V ugm-3
05/10/2016,02:00:00,12.49755,V ugm-3
05/10/2016,03:00:00,12.90316,V ugm-3
05/10/2016,04:00:00,11.1384,V ugm-3
05/10/2016,05:00:00,17.65094,V ugm-3
05/10/2016,06:00:00,28.11997,V ugm-3
05/10/2016,07:00:00,42.17923,V ugm-3
05/10/2016,08:00:00,45.70971,V ugm-3
05/10/2016,09:00:00,46.86629,V ugm-3
05/10/2016,10:00:00,25.92872,V ugm-3
05/10/2016,11:00:00,20.08555,V ugm-3
05/10/2016,12:00:00,25.19862,V ugm-3
05/10/2016,13:00:00,19.05041,V ugm-3
05/10/2016,14:00:00,20.32892,V ugm-3
05/10/2016,15:00:00,23.37218,V ugm-3
05/10/2016,16:00:00,27.8766,V ugm-3
05/10/2016,17:00:00,24.2242,V ugm-3
05/10/2016,18:00:00,26.84194,V ugm-3
05/10/2016,19:00:00,28.11949,V ugm-3
05/10/2016,20:00:00,32.19789,V ugm-3
05/10/2016,21:00:00,33.4152,V ugm-3
05/10/2016,22:00:00,65.91718,V ugm-3
05/10/2016,23:00:00,63.60401,V ugm-3
05/10/2016,24:00:00,40.41495,V ugm-3
06/10/2016,01:00:00,58.06286,V ugm-3
06/10/2016,02:00:00,44.83283,V ugm-3
06/10/2016,03:00:00,31.23591,V ugm-3
06/10/2016,04:00:00,33.99278,V ugm-3
06/10/2016,05:00:00,30.74631,V ugm-3
06/10/2016,06:00:00,35.15605,V ugm-3
06/10/2016,07:00:00,61.92149,V ugm-3
06/10/2016,08:00:00,63.69773,V ugm-3
06/10/2016,09:00:00,74.17058,V ugm-3
06/10/2016,10:00:00,58.73622,V ugm-3
06/10/2016,11:00:00,33.5027,V ugm-3
06/10/2016,12:00:00,28.05159,V ugm-3
06/10/2016,13:00:00,29.27607,V ugm-3
06/10/2016,14:00:00,32.52302,V ugm-3
06/10/2016,15:00:00,33.0131,V ugm-3
06/10/2016,16:00:00,36.80941,V ugm-3
06/10/2016,17:00:00,40.79076,V ugm-3
06/10/2016,18:00:00,39.99516,V ugm-3
06/10/2016,19:00:00,41.28083,V ugm-3
06/10/2016,20:00:00,53.5916,V ugm-3
06/10/2016,21:00:00,47.40562,V ugm-3
06/10/2016,22:00:00,44.09795,V ugm-3
06/10/2016,23:00:00,39.3822,V ugm-3
06/10/2016,24:00:00,35.34013,V ugm-3
07/10/2016,01:00:00,29.08913,V ugm-3
07/10/2016,02:00:00,29.41808,V ugm-3
07/10/2016,03:00:00,26.99398,V ugm-3
07/10/2016,04:00:00,16.64066,V ugm-3
07/10/2016,05:00:00,23.60455,V ugm-3
07/10/2016,06:00:00,35.25263,V ugm-3
07/10/2016,07:00:00,57.37787,V ugm-3
07/10/2016,08:00:00,78.39433,V ugm-3
07/10/2016,09:00:00,64.65015,V ugm-3
07/10/2016,10:00:00,40.0597,V ugm-3
07/10/2016,11:00:00,33.83547,V ugm-3
07/10/2016,12:00:00,30.75348,V ugm-3
07/10/2016,13:00:00,34.14291,V ugm-3
07/10/2016,14:00:00,39.93683,V ugm-3
07/10/2016,15:00:00,41.47734,V ugm-3
07/10/2016,16:00:00,37.8412,V ugm-3
07/10/2016,17:00:00,58.5488,V ugm-3
07/10/2016,18:00:00,60.82898,V ugm-3
07/10/2016,19:00:00,69.08715,V ugm-3
07/10/2016,20:00:00,58.05585,V ugm-3
07/10/2016,21:00:00,54.7893,V ugm-3
07/10/2016,22:00:00,55.65232,V ugm-3
07/10/2016,23:00:00,39.69011,V ugm-3
07/10/2016,24:00:00,35.06712,V ugm-3
08/10/2016,01:00:00,40.64891,V ugm-3
08/10/2016,02:00:00,34.61753,V ugm-3
08/10/2016,03:00:00,34.76256,V ugm-3
08/10/2016,04:00:00,28.87588,V ugm-3
08/10/2016,05:00:00,28.62773,V ugm-3
08/10/2016,06:00:00,35.9397,V ugm-3
08/10/2016,07:00:00,43.93299,V ugm-3
08/10/2016,08:00:00,45.8541,V ugm-3
08/10/2016,09:00:00,45.79242,V ugm-3
08/10/2016,10:00:00,27.51227,V ugm-3
08/10/2016,11:00:00,23.5467,V ugm-3
08/10/2016,12:00:00,27.20244,V ugm-3
08/10/2016,13:00:00,24.53785,V ugm-3
08/10/2016,14:00:00,21.56392,V ugm-3
08/10/2016,15:00:00,27.63658,V ugm-3
08/10/2016,16:00:00,29.92919,V ugm-3
08/10/2016,17:00:00,36.68366,V ugm-3
08/10/2016,18:00:00,45.73027,V ugm-3
08/10/2016,19:00:00,52.48474,V ugm-3
08/10/2016,20:00:00,59.11442,V ugm-3
08/10/2016,21:00:00,53.78524,V ugm-3
08/10/2016,22:00:00,41.64086,V ugm-3
08/10/2016,23:00:00,48.95187,V ugm-3
